id	bot	statuses_count	default_profile	default_profile_image	friends_count	followers_count	favourites_count	geo_enabled	listed_count	account_age_hours	diversity	mean_mins_between_tweets	mean_tweet_length	mean_retweets	reply_rate
0	0	715	0	0	423	206	150	1	34	36981	0.684901531729	3958.86363636	97.5135135135	1.47368421053	0.504504504505
2	0	2151	0	0	1457	1321	1704	1	90	35603	0.704787234043	2746.53370787	69.9888268156	3.81481481481	0.553072625698
3	0	439	0	0	691	213	5	0	15	38432	0.528857479388	11005.0318471	75.1012658228	1.14285714286	0.158227848101
7	0	28	1	0	285	31	0	0	1	4898	0.810426540284	6495.66666667	93.0294117647	3	0.0294117647059
12	0	40	0	0	907	60	1013	1	2	47238	0.831578947368	112167.3	79.1428571429	1	0.047619047619
16	0	33	1	0	195	68	56	0	6	23170	0.964285714286	94795.7	98.4545454545	2.42857142857	0.181818181818
19	0	2628	0	0	408	332	118	1	23	52625	0.704309063893	1364.45185185	93.125	1.61538461538	0.352941176471
21	0	1506	1	0	1992	511	7	0	18	16940	0.321557971014	230.487437186	87.03	1.11111111111	0
24	0	533	0	0	625	180	68	0	15	41013	0.772151898734	5910.29677419	113.826923077	1.68421052632	0.153846153846
25	0	1247	0	0	389	217	8	1	11	33089	0.726510067114	4422.99193548	78.344	1.16666666667	0.216
26	0	785	1	0	187	667	419	1	39	15160	0.637292464879	1177.18674699	100.586826347	2.25	0.658682634731
28	0	440	0	0	123	88	2	0	2	63525	0.610983981693	9390.35204082	84.847715736	1	0.289340101523
32	0	1087	0	0	1125	492	482	1	19	58131	0.670731707317	3228.04545455	103.414414414	3.22727272727	0.594594594595
35	1	37	1	0	22	4	1	0	0	20815	0.857142857143	61832.7142857	106.333333333	1	0.266666666667
38	1	12	1	1	996	1	0	0	0	35905	0.765957446809	20838.1818182	82.75	1	0.833333333333
45	0	143	0	0	102	123	8	1	24	62035	0.664857530529	27546.261194	101.17037037	1.66666666667	0.0740740740741
46	0	628	0	0	739	233	117	0	15	61947	0.791666666667	3328.70430108	119.139037433	29.1891891892	0.144385026738
51	0	8372	0	0	1090	3914	5997	1	322	64698	0.754672897196	746.873684211	94.9166666667	5.325	0.239583333333
54	0	197	1	0	1739	855	6	0	13	17324	0.6640625	23743.28125	58.2727272727	1.33333333333	0.575757575758
56	0	9268	0	0	1852	1588	7860	1	177	55302	0.47491638796	511.593333333	79.9271523179	2.71875	0.0529801324503
60	0	6057	0	0	2239	2046	53	1	123	69484	0.485875706215	193.976608187	88.238372093	1	0.25
62	0	1627	0	0	472	317	1252	0	29	60645	0.755813953488	2882.64285714	76	3.09090909091	0.581395348837
63	0	232	0	0	504	210	186	0	9	13686	0.742424242424	1898.38461538	117.423913043	2.08695652174	0.195652173913
65	0	1417	0	0	404	241	347	1	13	55676	0.687224669604	3293.53333333	107.830882353	1.6	0.25
66	0	805	0	0	126	51	49	0	1	54921	0.684405940594	7367.71764706	104.216374269	3.21428571429	0.555555555556
67	0	1484	0	0	192	58	46	1	12	55826	0.104943625325	682.430769231	88.7295918367	1	0.0255102040816
68	0	1974	0	0	786	572	4811	0	15	36767	0.710702341137	989.028368794	90.4366197183	2.15789473684	0.56338028169
71	0	1574	0	0	357	111	969	0	12	8690	0.798816568047	1406.18918919	59.3157894737	1	0.631578947368
73	1	2	1	1	1664	8	0	0	1	46313	1	192125	68	2	0
74	0	99	0	0	352	42	28	0	1	13556	0.757911392405	3502.21495327	125.972222222	1	0.0555555555556
75	0	50	0	0	264	74	15	0	2	26616	0.808035714286	35103.5813953	99.4545454545	1.11111111111	0.0681818181818
78	0	23	1	0	135	23	8	0	0	54658	0.472222222222	97336.0645161	47	1	0.1875
79	0	21638	0	0	3715	10394	11625	1	157	51559	0.662188099808	224.682926829	114.445783133	2.26923076923	0.144578313253
81	0	3897	0	0	621	1260	1662	1	77	54436	0.63179916318	763.258426966	66.2458100559	4	0.709497206704
82	0	10464	0	0	7520	15826	104	0	9	24355	0.381465517241	235.115789474	103.931937173	1	0.0104712041885
83	0	11189	0	0	1957	1172	3125	1	104	50174	0.753894080997	497.769230769	93.2025316456	2	0.835443037975
84	0	219	0	0	201	126	113	0	17	48342	0.711604095563	6231.03076923	94.2824427481	2.22222222222	0.496183206107
86	0	9223	1	0	2566	3377	419	1	230	42083	0.657142857143	396.533333333	105.75	3.27906976744	0.647058823529
88	1	337	1	1	1626	16	1	0	0	41076	0.21139101862	108.47979798	85.7537688442	1	0.889447236181
89	1	58	1	1	1324	21	2256	0	1	7546	0.611940298507	4410.54347826	44.7446808511	1.66666666667	0.893617021277
90	0	24784	0	0	481	538	0	0	34	46512	0.723860589812	246.103092784	94.7653061224	1	0.775510204082
91	1	71	1	0	84	116	160	0	4	64447	0.804	56124.421875	61.8153846154	1	0.692307692308
93	0	1055	0	0	941	138	4667	1	5	61077	0.783783783784	9568.60714286	90.0117647059	1	0.729411764706
94	0	151	0	0	247	129	4	1	5	63362	0.731884057971	27133.5639098	63.4701492537	1	0.388059701493
95	0	979	1	0	1014	578	113	1	37	52355	0.632596685083	1163.85211268	79.7412587413	2.11627906977	0.41958041958
96	0	459	0	0	881	224	229	0	32	39630	0.359217171717	1787.81072555	82.6163522013	1.6	0.333333333333
99	0	158	0	0	909	124	112	0	3	32726	0.815789473684	37943	108.952380952	8	0.428571428571
100	0	2138	0	0	599	714	81	0	44	34761	0.553604436229	971.462857143	124.806818182	1.93939393939	0.0284090909091
102	0	5946	0	0	1953	792	273	1	57	69256	0.763081395349	245.2890625	100.604651163	1.55555555556	0.15503875969
103	0	3077	0	0	1023	446	93	0	32	55163	0.68340306834	2734.01886792	115.26875	1.85294117647	0.3125
105	1	77	0	0	751	108	5	0	5	44037	0.80487804878	12147.7435897	95.6	1.16666666667	0.05
108	0	7396	0	0	591	1797	6364	1	142	54724	0.707818930041	157.091836735	80.9494949495	1.7	0.555555555556
110	0	174	0	0	674	298	8	1	12	38236	0.413306451613	5754.42105263	129.333333333	2.31355932203	0.104575163399
111	1	10	1	0	1972	37	0	0	0	14811	0.857142857143	14485.2222222	51.9	1	0.2
112	0	655	1	0	251	371	320	1	16	32837	0.768079800499	3514.96907216	119.62244898	4.82857142857	0.5
114	0	17116	0	0	1197	1881	1755	1	126	33611	0.721153846154	955.349056604	57.1121495327	2.11111111111	0.439252336449
115	0	375	1	0	1740	704	3	0	3	21981	0.327253218884	1887.15104167	74.2020725389	1	0
116	1	25	1	0	1975	10	1	0	0	29598	0.730434782609	72850.8181818	82.8260869565	1	0.217391304348
120	0	3102	0	0	643	399	866	1	52	54584	0.695090439276	729.666666667	86.5205479452	1.58333333333	0.561643835616
122	0	3580	0	0	1428	1022	276	1	38	47455	0.678420310296	1808.75925926	73.9693251534	1.86842105263	0.466257668712
123	1	5	0	0	563	99	0	0	10	43008	0.967741935484	438262	101.333333333	1	0
126	1	17	1	0	1975	32	1	1	2	17720	0.866666666667	53286.5	55.2631578947	1	0.105263157895
127	0	516	0	0	1520	1320	29	0	6	6678	0.728752260398	1686.25862069	90.8803418803	1.08333333333	0.299145299145
129	0	2088	0	0	2001	468	54	0	19	58084	0.842767295597	5967.75	126.333333333	2	0.30303030303
130	0	1159	0	0	412	195	55	1	5	52125	0.693773824651	2667.7247191	71.9720670391	1.25	0.418994413408
131	0	14410	0	0	2869	13769	150	1	869	65664	0.72131147541	232.653333333	88.4238410596	10.7428571429	0.774834437086
136	0	897	0	0	320	79	835	0	11	56980	0.826086956522	36048.826087	108.25	1	0.166666666667
140	0	46289	0	0	1996	1366	14828	0	76	62814	0.644444444444	195	84.3189189189	1.18181818182	0.675675675676
143	0	353	1	0	171	272	1	0	26	52966	0.677710843373	9651.0141844	100.704225352	3.25	0.542253521127
146	0	456	0	0	445	108	4	1	4	38542	0.662933930571	7123.57894737	102.136125654	1.25	0.69109947644
150	0	1479	0	0	547	99	396	1	4	43893	0.709844559585	14102.8571429	71.1153846154	2.33333333333	0.205128205128
151	0	2630	0	0	1094	756	43	1	46	61849	0.775675675676	1244.97959184	113.087837838	1.16666666667	0.108108108108
153	1	35	1	0	77	462	12	0	18	13034	0.727272727273	907.5	111.258064516	1	0.354838709677
